,water_level,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
95,0.950950951,1608266.504,0,327776.6784,0,5069287.846,0,69702.80399,1590633.96,1728458.869,71850.89514,19305.28076,452173.1879,657393.4185,2065736.644,604715.1995,679003.6963,3830989.652,25483472.88
96,0.960960961,1620016.804,0,329535.6224,0,5089718.006,0,70076.84929,1599169.76,1733467.898,72236.46772,19408.87845,454599.6794,660052.265,2076821.981,607960.2753,681749.9462,3871867.732,25610293.02
97,0.970970971,1631767.104,0,331294.5664,0,5110148.166,0,70450.8946,1607705.559,1738476.927,72622.0403,19512.47614,457026.1709,662711.1115,2087907.319,611205.3511,684496.1961,3897234.388,25737113.16
98,0.980980981,1641382.639,0,333053.5104,0,5130578.326,0,70824.9399,1616241.359,1743485.956,73007.61288,19616.07383,459452.6623,665369.958,2098992.656,614450.4269,687242.446,3922601.044,25863933.3
99,0.990990991,1650546.692,0,334812.4544,0,5151008.486,0,71198.98521,1624777.158,1748494.986,73393.18546,19719.67153,461879.1538,668028.8045,2110077.993,617695.5027,689988.6959,3947967.7,25990753.45
100,1.001001001,1659710.744,0,336571.3983,0,5171438.646,0,71573.03051,1633312.958,1753504.015,73778.75805,19823.26922,464305.6452,670687.6511,2121163.331,620940.5784,692734.9458,3973334.356,26117573.59
101,1.011011011,1668874.797,0,338330.3423,0,5191868.806,0,71947.07582,1641848.757,1758513.044,74164.33063,19926.86691,466732.1367,673346.4976,2132248.668,624185.6542,695481.1957,3998701.012,26244393.73
102,1.021021021,1678038.849,0,340089.2863,0,5212298.966,0,72321.12113,1650384.557,1763522.073,74549.90321,20030.4646,469158.6281,676005.3441,2143334.005,627430.73,698227.4456,4024067.668,26371213.87
103,1.031031031,1687202.902,0,341848.2303,0,5232729.126,0,72695.16643,1658920.357,1768531.103,74935.47579,20134.06229,471585.1196,678664.1906,2154419.342,630675.8058,700973.6955,4049434.324,26498034.01
104,1.041041041,1696366.954,0,343607.1743,0,5253159.287,0,73069.21174,1667456.156,1773540.132,75321.04837,20237.65999,474011.611,681323.0371,2165504.68,633920.8816,703719.9454,4074800.98,26624854.15
105,1.051051051,1705531.007,0,345366.1183,0,5273589.447,0,73443.25704,1683927.594,1778549.161,75706.62095,20341.25768,476438.1025,683981.8836,2176590.017,637165.9574,706466.1953,4100167.636,26751674.29
106,1.061061061,1714695.059,0,347125.0622,0,5294019.607,0,73817.30235,1705945.478,1783558.19,76092.19353,20444.85537,478864.5939,686640.7301,2187675.354,640411.0332,709212.4452,4125534.292,26878494.43
107,1.071071071,1723859.112,0,348884.0062,0,5314449.767,0,74191.34765,1727963.363,1788567.22,76477.76611,20548.45306,481291.0854,689299.5766,2198760.692,643656.1089,711958.6951,4150900.948,27005314.57
108,1.081081081,1733023.164,0,350642.9502,0,5334879.927,0,74565.39296,1749981.247,1793576.249,76863.33869,20652.05076,483717.5768,691958.4231,2209846.029,646901.1847,714704.945,4176267.604,27132134.71
109,1.091091091,1742187.217,0,352401.8942,0,5355310.087,0,74939.43826,1771999.131,1798585.278,77248.91127,20755.64845,486144.0683,694617.2697,2220931.366,650146.2605,717451.1949,4201634.26,27258954.85
110,1.101101101,1751351.269,0,354160.8382,0,5375740.247,0,75313.48357,1794017.015,1803594.307,77634.48385,20859.24614,488570.5597,697276.1162,2232016.704,653391.3363,720197.4448,4227000.916,27385774.99
111,1.111111111,1760515.322,0,355919.7822,0,5396170.407,0,75687.52887,1816034.899,1808603.336,78020.05643,20962.84383,490997.0512,699934.9627,2243102.041,656636.4121,722943.6947,4252367.572,27512595.13
112,1.121121121,1769679.374,0,357678.7261,0,5416600.567,0,76061.57418,1838052.783,1813612.366,78405.62901,21066.44152,493423.5426,702593.8092,2254187.378,659881.4879,725689.9446,4277734.228,27639415.27
113,1.131131131,1778843.427,0,359437.6701,0,5437030.727,0,76435.61948,1860070.667,1818621.395,78791.20159,21170.03922,495850.0341,705252.6557,2265272.716,663126.5636,728436.1945,4303100.884,27766235.41
114,1.141141141,1788007.479,0,361196.6141,0,5457460.887,0,76809.66479,1882088.551,1823630.424,79176.77417,21273.63691,498276.5255,707911.5022,2276358.053,666371.6394,731182.4444,4328467.54,27893055.55
115,1.151151151,1797171.532,0,362955.5581,0,5477891.047,0,77183.71009,1904106.435,1828639.453,79562.34675,21377.2346,500703.017,710570.3487,2287443.39,669616.7152,733928.6943,4353834.197,28019875.69
116,1.161161161,1806335.584,0,364714.5021,0,5498321.207,0,77557.7554,1926124.319,1833648.483,79947.91933,21480.83229,503129.5084,713229.1952,2298528.727,672861.791,736674.9442,4379200.853,28146695.83
117,1.171171171,1815499.637,0,366473.4461,0,5518751.367,0,77931.8007,1948142.203,1838657.512,80333.49191,21584.42999,505555.9999,715888.0417,2309614.065,676106.8668,739421.1941,4404567.509,28273515.97
118,1.181181181,1824663.689,0,368232.39,0,5539181.527,0,78305.84601,1970160.087,1843666.541,80719.06449,21688.02768,507982.4913,718546.8882,2320699.402,679351.9426,742167.444,4429934.165,28400336.11
119,1.191191191,1833827.742,0,369991.334,0,5559611.687,0,78679.89131,1992177.971,1848675.57,81104.63707,21791.62537,510408.9828,721205.7348,2331784.739,682597.0183,744913.6939,4455300.821,28527156.25
120,1.201201201,1842991.794,0,371750.278,0,5580041.847,0,79053.93662,2014195.855,1853684.6,81490.20965,21895.22306,512835.4742,723864.5813,2342870.077,685842.0941,747659.9438,4480667.477,28653976.4
121,1.211211211,1852155.847,0,373509.222,0,5600472.007,0,79427.98192,2036213.739,1858693.629,81875.78223,21998.82075,515261.9657,726523.4278,2353955.414,689087.1699,750406.1937,4506034.133,28780796.54
122,1.221221221,1861319.899,0,375268.166,0,5620753.521,0,79802.02723,2058231.623,1862946.358,82261.35482,22102.41845,517688.4572,729182.2743,2365040.751,692332.2457,753152.4436,4531400.789,28905863.43
123,1.231231231,1870483.952,0,377027.11,0,5640447.515,0,80176.07253,2080249.507,1864209.847,82646.9274,22206.01614,520114.9486,731841.1208,2376126.089,695577.3215,755898.6935,4556767.445,29024000.71
124,1.241241241,1879648.004,0,378786.0539,0,5660141.51,0,80550.11784,2102267.391,1865473.335,83032.49998,22309.61383,522541.4401,734499.9673,2387211.426,698822.3973,758644.9434,4582134.101,29142137.99
125,1.251251251,1888812.057,0,380544.9979,0,5679835.504,0,80924.16314,2124285.275,1866736.823,83418.07256,22413.21152,524967.9315,737158.8138,2398296.763,702067.4731,761391.1933,4607500.757,29260275.28
126,1.261261261,1897976.109,0,382303.9419,0,5699529.499,0,81298.20845,2146303.159,1868000.311,83803.64514,22516.80921,527394.423,739817.6603,2409382.101,705312.5488,764137.4432,4632867.413,29378412.56
127,1.271271271,1907140.162,0,384062.8859,0,5719223.493,0,81672.25375,2168321.043,1869263.8,84189.21772,22620.40691,529820.9144,742476.5068,2420467.438,708557.6246,766883.6931,4658234.069,29496549.84
128,1.281281281,1916304.214,0,385821.8299,0,5738917.488,0,82046.29906,2190338.927,1870527.288,84574.7903,22724.0046,532247.4059,745135.3534,2431552.775,711802.7004,769629.943,4683600.725,29614687.12
129,1.291291291,1925468.267,0,387580.7739,0,5758611.482,0,82420.34436,2212356.811,1871790.776,84960.36288,22827.60229,534673.8973,747794.1999,2442638.112,715047.7762,772376.1929,4708967.381,29732824.4
130,1.301301301,1934632.319,0,389339.7178,0,5778305.477,0,82794.38967,2234374.695,1873054.264,85345.93546,22931.19998,537100.3888,750453.0464,2453723.45,718292.852,775122.4428,4734334.037,29850961.68
131,1.311311311,1943796.372,0,391098.6618,0,5797999.471,0,83168.43497,2256392.579,1874317.753,85731.50804,23034.79768,539526.8802,753111.8929,2464808.787,721537.9278,777868.6927,4759700.693,29969098.96
132,1.321321321,1952960.424,0,392857.6058,0,5817693.466,0,83542.48028,2278410.463,1875581.241,86117.08062,23138.39537,541953.3717,755770.7394,2475894.124,724783.0035,780614.9426,4785067.349,30087236.24
133,1.331331331,1962124.477,0,394616.5498,0,5837387.461,0,83916.52558,2300428.347,1876844.729,86502.6532,23241.99306,544379.8631,758429.5859,2486979.462,728028.0793,783361.1925,4810434.005,30205373.52
